Wkrnr,Wahlkreisname,Bundesland,Einwohner,Migrationshintergrund Anteil,Verfügbares Einkommen PP im Monat,Wahlberechtigte Zweitstimmen,Wähler Zweitstimmen,Ungültige Zweitstimmen,Gültige Zweitstimmen,Sozialdemokratische Partei Deutschlands Zweitstimmen,DIE LINKE Zweitstimmen,BÜNDNIS 90 DIE GRÜNEN Zweitstimmen,Freie Demokratische Partei Zweitstimmen,Alternative für Deutschland Zweitstimmen,UNION Zweitstimmen
174,Fulda,Hessen,271,0.16,20727,209966,161981,3299,158682,28745,9266,10593,17122,25145,61811
175,Main-Kinzig – Wetterau II – Schotten,Hessen,232.2,0.225,21761,179307,138193,2167,136026,32069,8938,9614,14144,20927,43147
176,Hochtaunus,Hessen,250.3,0.229,27206,181516,146315,1706,144609,28947,9562,14074,21713,16132,48436
177,Wetterau I,Hessen,237.7,0.191,22008,176435,138853,1633,137220,31152,9249,13002,17462,15895,43951
178,Rheingau-Taunus – Limburg,Hessen,294,0.178,22673,220342,173627,2002,171625,35604,11069,15273,22650,20399,59346
179,Wiesbaden,Hessen,276.2,0.338,22243,189372,139775,1546,138229,29247,13160,16286,18400,15496,40022
180,Hanau,Hessen,254.2,0.246,21744,177469,134190,1867,132323,31150,10006,11345,15185,18626,39126
181,Main-Taunus,Hessen,278,0.257,26355,197291,160647,1788,158859,28786,9504,16752,26571,16395,54902
182,Frankfurt am Main I,Hessen,365.1,0.442,20555,199775,144841,1614,143227,29743,17179,19475,19989,13342,37221
183,Frankfurt am Main II,Hessen,367.6,0.442,20555,223942,172393,1620,170773,33511,20059,26415,24336,13737,45731
184,Groß-Gerau,Hessen,266,0.321,20066,174727,133318,2138,131180,33318,10755,11862,12645,15943,39950
185,Offenbach,Hessen,355.2,0.368,20901,220194,163580,2286,161294,34519,14261,16421,20372,19050,49302
186,Darmstadt,Hessen,341.8,0.269,22135,242622,192508,2133,190375,42638,19508,27317,20893,18654,52218
187,Odenwald,Hessen,319.2,0.251,22034,234422,184974,2745,182229,42516,13433,16084,19948,22258,59635
188,Bergstraße,Hessen,266.9,0.182,22341,198418,156082,1988,154094,34435,10197,13595,18196,19923,51088
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,263.8,0.028,17475,216673,158339,2410,155929,21652,22613,4778,11974,32854,52667
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,273.3,0.03,18020,222558,163154,2268,160886,23206,25171,5596,11545,35824,48340
191,Jena – Sömmerda – Weimarer Land I,Thüringen,255.8,0.041,17558,203210,155210,1854,153356,19150,28312,9497,13310,30426,42092
192,Gotha – Ilm-Kreis,Thüringen,246.5,0.04,17733,198341,148065,2187,145878,20391,22920,5411,11218,35091,40576
193,Erfurt – Weimar – Weimarer Land II,Thüringen,280.7,0.066,17262,221922,168235,2077,166158,23535,32239,12666,14260,30166,42168
194,Gera – Greiz – Altenburger Land,Thüringen,289.5,0.031,18134,240738,176933,2541,174392,19845,30402,4709,14315,47275,47690
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,278.4,0.024,18365,229126,171879,2128,169751,20427,28088,5124,13209,43740,47769
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,282.7,0.025,18845,234446,170237,2139,168098,22826,28467,5559,11298,38693,50956
197,Neuwied,Rheinland-Pfalz,309.8,0.206,21726,239284,181607,2547,179060,45447,11338,10738,18071,19273,68357
